id,value
fr,924
fr.gouv,620
fr.gouv.finances,143
fr.gouv.finances.dgfip,90
fr.gouv.interieur,78
fr.gouv.developpement-durable,52
fr.gouv.modernisation,47
fr.ac,221
fr.ac.versailles,37
fr.gouv.education,37
fr.gouv.ssi,31
fr.gouv.social,28
fr.gouv.social.sg,25
fr.gouv.diplomatie,24
fr.ac.montpellier,22
fr.gouv.agriculture,17
fr.gouv.culture,17
fr.ac.lille,14
fr.gouv.pm,13
fr.ac.creteil,13
fr.gouv.data,13
fr.ac.nancy-metz,11
fr.ac.rennes,11
fr.insee,11
fr.gouv.finances.douane,11
fr.gouv.intradef,10
fr.ac.caen,10
fr.gouv.beta,9
fr.gouv.interieur.gendarmerie,9
fr.educagri,9
fr.ac.grenoble,9
fr.gouv.aviation-civile,9
fr.reseau-canope,8
fr.ac.bordeaux,8
fr.ac.lyon,8
fr.ac.orleans-tours,8
fr.ac.poitiers,7
fr.gouv.justice,11
fr.ign,7
fr.ac.aix-marseille,7
fr.ac.nantes,7
fr.gouv.dila,6
fr.ac.rouen,6
fr.ac.dijon,6
fr.gouv.occitanie,5
fr.ac.strasbourg,5
fr.gouv.sante,5
fr.ac.nice,5
fr.gouv.recherche,5
fr.cnil,4
fr.gouv.direccte,4
fr.gouv.justice.externes,4
fr.ac.amiens,4
fr.ac.reims,4
fr.ac.limoges,4
fr.gouv.enseignementsup,3
fr.ac.clermont,3
fr.senat,3
fr.gouv.bouches-du-rhone,3
fr.gouv.defense,3
fr.inria,3
fr.inserm,3
fr.arcep,3
fr.ac.toulouse,3
fr.ccomptes,4
fr.bnf,2
fr.cerema,2
fr.gouv.drjscs,2
fr.justice,2
fr.sante,3
fr.sante.ars,2
fr.gouv.bas-rhin,2
fr.gouv.loiret,2
fr.ac.martinique,2
fr.debatpublic,2
fr.gouv.haute-garonne,2
fr.caissedesdepots,2
fr.gouv.nord,2
fr.ccomptes.crtc,2
fr.ac.besancon,2
fr.gouv.auvergne-rhone-alpes,2
fr.ac.paris,2
fr.gouv.cote-dor,2
fr.unistra,2
fr.gouv.sports,2
fr.gouv.sports.creps-pdl,1
fr.gouv.finances.dgccrf,1
fr.gouv.service-civique,1
fr.onf,1
fr.cned,1
fr.gouv.jeunesse-sports,1
fr.ena,2
fr.gouv.yonne,1
fr.gouv.maine-et-loire,1
fr.gouv.eure,1
fr.gouv.var,1
fr.gouv.alpes-de-haute-provence,1
fr.gouv.calvados,1
fr.gouv.manche,1
fr.gouv.rhone,1
fr.banque-france,1
fr.cnam,1
fr.gouv.dgtresor,1
fr.gouv.anah,1
fr.gouv.gironde,1
fr.gouv.vaucluse,1
fr.ac.corse,1
fr.gouv.ira-bastia,1
fr.ena.alumni,1
fr.gouv.meuse,1
fr.gouv.cotes-darmor,1
fr.gouv.hautes-pyrenees,1
fr.gouv.equipement,1
fr.ac.guyane,1
fr.gouv.ardeche,1
fr.lyon,1
fr.lyon.ac,1
fr.lyon.ac.gs,1
fr.gouv.vendee,1
fr.gouv.loire,1
fr.gouv.tarn-et-garonne,1
fr.ipsl,1
fr.ipsl.latmos,1
fr.gouv.equipement-agriculture,1
fr.inrap,1
fr.gouv.strategie,1
fr.sante.efs,1
fr.ac.guadeloupe,1
fr.gouv.grand-est,1
fr.juradm,1
fr.juradm.cnda,1
fr.cines,1
fr.ecp,1
fr.ecp.via,1
fr.gouv.dordogne,1
fr.gouv.cnig,1
fr.gouv.meurthe-et-moselle,1
fr.cnes,1
fr.gouv.sarthe,1
fr.gouv.saone-et-loire,1
